CLASS,LON,LAT
ever_broad,107.5899963,33.65583038
ever_broad,107.6511078,33.69472122
ever_broad,107.66896,33.59442
ever_broad,107.68192,33.60461
ever_broad,107.66516,33.58885
ever_broad,107.464258,33.636832
ever_broad,107.703112,33.595295
ever_broad,107.735973,33.464578
ever_broad,107.71447,33.622758
ever_broad,107.464258,33.636832
ever_broad,107.735973,33.464578
ever_broad,107.71447,33.622758
ever_broad,107.70687,33.58866
ever_broad,107.70466,33.59465
ever_broad,107.573,33.66687
ever_broad,107.70687,33.58866
ever_broad,107.64502,33.55474
ever_broad,107.66516,33.58885
ever_broad,107.573,33.66687
ever_broad,107.573,33.66687
ever_broad,107.58859,33.67793
ever_broad,107.70466,33.59465
ever_broad,107.70687,33.58866
ever_broad,107.64502,33.55474
ever_broad,107.7059,33.58604
ever_broad,107.66475,33.61045
ever_broad,107.642458,33.551343
ever_broad,107.5899963,33.65583038
ever_broad,107.6511078,33.69472122
ever_broad,107.5650667,33.60198333
ever_broad,107.7032333,33.59518333
ever_broad,107.6859167,33.6245
ever_broad,107.55818,33.69513
ever_broad,107.65789,33.61107
ever_broad,107.66387,33.60011
ever_broad,107.69538,33.55902
ever_broad,107.70159,33.57156
ever_broad,107.70167,33.5712
ever_broad,107.69759,33.47825
