CLASS,LON,LAT
deci_broad,107.6537,33.548
deci_broad,107.6448,33.543
deci_broad,107.64415,33.55311
deci_broad,107.64559,33.53209
deci_broad,107.6651,33.5243
deci_broad,107.6665,33.5436
deci_broad,107.6737,33.5416
deci_broad,107.66968,33.55342
deci_broad,107.6689,33.5117
deci_broad,107.65783,33.51597
deci_broad,107.68105,33.62098
deci_broad,107.64615,33.58893
deci_broad,107.66461,33.61111
deci_broad,107.5719,33.66923
deci_broad,107.5822,33.67052
deci_broad,107.6127,33.59571
deci_broad,107.6033,33.58735
deci_broad,107.6236,33.58058
deci_broad,107.6117,33.57642
deci_broad,107.6507,33.5328
deci_broad,107.65036,33.53469
deci_broad,107.67957,33.55931
deci_broad,107.70375,33.58337
deci_broad,107.70014,33.58076
deci_broad,107.70854,33.58951
deci_broad,107.53576,33.45306
deci_broad,107.68521,33.61272
deci_broad,107.66576,33.59397
deci_broad,107.68112,33.60696
deci_broad,107.68062,33.60655
deci_broad,107.68111,33.60457
deci_broad,107.58857,33.65262
deci_broad,107.58263,33.65244
deci_broad,107583456,33.651171
deci_broad,107.57201,33.664
deci_broad,107.597206,33.67669
deci_broad,107.5983,33.678406
deci_broad,107.588845,33.664572
deci_broad,107.601383,33.686394
deci_broad,107.644208,33.553678
deci_broad,107.705028,33.568456
deci_broad,107.686242,33.617897
deci_broad,107.703761,33.533139
deci_broad,107.665069,33.631839
deci_broad,107.645828,33.535378
deci_broad,107.695019,33.498858
deci_broad,107.482862,33.667958
deci_broad,107.72248,33.447592
deci_broad,107.695145,33.527777
deci_broad,107.72769,33.44503
deci_broad,107.702078,33.560023
deci_broad,107.70589,33.58612
deci_broad,107.707243,33.530362
deci_broad,107.67474,33.56526
deci_broad,107.70782,33.5877
deci_broad,107.704878,33.560987
deci_broad,107.66483,33.530875
deci_broad,107.665083,33.513823
deci_broad,107.69105,33.59576
deci_broad,107.66581,33.534695
deci_broad,107.662457,33.592997
deci_broad,107.48941,33.636149
deci_broad,107.520795,33.672987
deci_broad,107.70166,33.571593
deci_broad,107.663903,33.610673
deci_broad,107.656423,33.567475
